,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,free_SO2_ratio,alcohol_surgar_ratio,sugar_acidity_ratio,fixed_acidity_ratio
7053,0.22441348975989286,0.07385483884419554,0.18581908276537926,0.016634919845173242,0.05865126996992374,0.10176411292324337,0.2812862346235699,0.11029123678792196,0.588540885064889,0.15816872056711825,0.3166082281022166,0.2563368347454387,0.33566082469575964,0.02475201963177569,0.8918825721470687
2269,0.30578512396694213,0.13333333333333336,0.1987951807228916,0.10889570552147239,0.06478405315614617,0.1423611111111111,0.4009216589861751,0.19838056680161742,0.5038759689922481,0.20786516853932585,0.30434782608695654,0.25239948119325545,0.06483424752404852,0.12400552133514971,0.8449053253407772
2342,0.30578512396694213,0.04000000000000001,0.20481927710843376,0.010736196319018405,0.07641196013289037,0.1701388888888889,0.3387096774193548,0.14247156352419665,0.44186046511627897,0.3258426966292135,0.2318840579710144,0.36441087459627164,0.4120797951867094,0.013849831322231804,0.9544928084336943
6401,0.30578512396694213,0.09207997083141126,0.1935261219891097,0.027799595475754918,0.05896786544722786,0.09809261284855698,0.22019977679125025,0.08289058644382749,0.28004136628055937,0.2096103967637239,0.47644440217112755,0.3183585745300793,0.25747849237495146,0.03299355556747848,0.8928581268668363
3087,0.15702479338842973,0.15999999999999998,0.10843373493975904,0.012269938650306747,0.03322259136212625,0.08680555555555555,0.22580645161290322,0.06728359359938452,0.5581395348837206,0.08426966292134831,0.4347826086956521,0.2723735408560311,0.43909857196651514,0.02223705346655604,0.7384114651687756
4341,0.2727272727272727,0.13333333333333336,0.16867469879518077,0.12116564417177914,0.03488372093023256,0.08333333333333333,0.42626728110599077,0.12087912087912045,0.3410852713178292,0.1348314606741573,0.6086956521739129,0.1296269888157761,0.07190193749776363,0.14578561995591605,0.8328041745428756
5148,0.2479338842975206,0.14666666666666667,0.1987951807228916,0.18711656441717792,0.053156146179401995,0.2048611111111111,0.37327188940092165,0.1827646038172368,0.29457364341085235,0.1910112359550562,0.26086956521739135,0.4007782101167315,0.033610745010572665,0.23329286948411895,0.806047117921981
2246,0.28925619834710736,0.10666666666666665,0.20481927710843376,0.1058282208588957,0.06478405315614617,0.09722222222222221,0.33640552995391704,0.17524580682475488,0.29457364341085235,0.1797752808988764,0.14492753623188404,0.2014130657382756,0.05844799119427628,0.12467457046099,0.8707091149684762
1644,0.20661157024793386,0.09999999999999999,0.1987951807228916,0.013803680981595092,0.04485049833887043,0.048611111111111105,0.22811059907834103,0.07499518025833751,0.46511627906976694,0.11235955056179776,0.4637681159420288,0.14396887159533073,0.4167714277438229,0.021854110189776378,0.8496676219151764
4379,0.23966942148760328,0.17333333333333334,0.25903614457831325,0.015337423312883437,0.053156146179401995,0.09722222222222221,0.24884792626728108,0.058415268941583776,0.39534883720930214,0.12359550561797754,0.6666666666666667,0.2776298723462352,0.44011963039133334,0.021526650171848315,0.7685653088446562
6440,0.1074380165289256,0.17899552417758377,0.1065355413926447,0.015022268468534841,0.02648702726718796,0.06402210663057983,0.1973991992181998,0.04261708301236831,0.5916957173589245,0.08757886563465972,0.646217943231441,0.22569682921023992,0.44109876088961864,0.02995094790444416,0.6716360230322486
7162,0.35783279529975015,0.15333333333333332,0.2554485755268703,0.024996577041824803,0.2446888062484892,0.0319134476565246,0.04995371908163121,0.13190720826998312,0.3869878338509464,0.32173956381071334,0.6521739130434783,0.3902279187934955,0.31178154573591055,0.02645925270623124,0.8402374013941674
5640,0.28368514023671804,0.10434535958190516,0.2290499644221165,0.20309061095847888,0.07706442566587525,0.1508242098576374,0.4345788381316661,0.2124181873539629,0.2167086186965682,0.14240559585794507,0.14020431929503063,0.24728805492730732,0.02692274551004833,0.240143922689124,0.871774173305432
8289,0.26498769184174376,0.06666666666666667,0.18674698795180725,0.15983485771498485,0.053367145225418605,0.11842743366696268,0.2724331725432895,0.17544171417112342,0.31172346690054326,0.14092868429476474,0.24422005047363593,0.307136032824263,0.04023203336238597,0.19717348497373008,0.9123419732353424
